ID,lead_ID,activityType,subject,scheduledAt,completedAt,status,createdAt,createdBy,modifiedAt,modifiedBy
a1000001-0000-0000-0000-000000000001,d1a2b3c4-e89b-4d3a-a456-426614174001,Call,Initial intro call with Steel Co,2025-11-08T09:00:00Z,2025-11-08T09:30:00Z,Completed,2025-11-07T08:00:00Z,gopi.a@company.com,2025-11-08T09:30:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000002,d1a2b3c4-e89b-4d3a-a456-426614174001,Meeting,Product demo for Steel Co,2025-11-15T10:00:00Z,2025-11-15T11:00:00Z,Completed,2025-11-08T10:00:00Z,gopi.a@company.com,2025-11-15T11:00:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000003,d1a2b3c4-e89b-4d3a-a456-426614174002,Email,Send brochure to AMG LLC,2025-11-08T08:00:00Z,,Planned,2025-11-07T08:15:00Z,gopi.a@company.com,2025-11-07T08:15:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000004,d1a2b3c4-e89b-4d3a-a456-426614174003,Demo,Solution demo for Java Ocean,2025-11-10T14:00:00Z,2025-11-10T15:00:00Z,Completed,2025-11-06T09:00:00Z,gopi.a@company.com,2025-11-10T15:00:00Z,anitha.raj@company.com
a1000001-0000-0000-0000-000000000005,d1a2b3c4-e89b-4d3a-a456-426614174004,Call,Follow-up call Tech Innovators,2025-11-12T11:00:00Z,,Planned,2025-11-06T09:30:00Z,gopi.a@company.com,2025-11-06T09:30:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000006,d1a2b3c4-e89b-4d3a-a456-426614174005,Meeting,Discuss partnership with John,2025-11-05T10:00:00Z,2025-11-05T10:45:00Z,Completed,2025-11-04T10:00:00Z,gopi.a@company.com,2025-11-05T10:45:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000007,d1a2b3c4-e89b-4d3a-a456-426614174006,Call,Intro call with Sarah Connor,2025-11-05T09:00:00Z,,Planned,2025-11-04T10:30:00Z,ravi.kumar@company.com,2025-11-04T10:30:00Z,ravi.kumar@company.com
a1000001-0000-0000-0000-000000000008,d1a2b3c4-e89b-4d3a-a456-426614174007,Email,Send proposal Blue Horizon,2025-11-06T08:00:00Z,2025-11-06T08:15:00Z,Completed,2025-11-04T11:00:00Z,gopi.a@company.com,2025-11-06T08:15:00Z,anitha.raj@company.com
a1000001-0000-0000-0000-000000000009,d1a2b3c4-e89b-4d3a-a456-426614174008,Demo,NextGen product walkthrough,2025-11-09T13:00:00Z,,Cancelled,2025-11-04T11:30:00Z,gopi.a@company.com,2025-11-05T09:00:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000010,d1a2b3c4-e89b-4d3a-a456-426614174009,Meeting,Emily Watson requirements gather,2025-11-06T10:00:00Z,2025-11-06T11:00:00Z,Completed,2025-11-03T08:00:00Z,prasanth.s@company.com,2025-11-06T11:00:00Z,prasanth.s@company.com
a1000001-0000-0000-0000-000000000011,d1a2b3c4-e89b-4d3a-a456-426614174010,Call,Global Trade intro discussion,2025-11-05T14:00:00Z,2025-11-05T14:30:00Z,Completed,2025-11-03T08:30:00Z,ravi.kumar@company.com,2025-11-05T14:30:00Z,ravi.kumar@company.com
a1000001-0000-0000-0000-000000000012,d1a2b3c4-e89b-4d3a-a456-426614174010,Email,Send contract to Global Trade,2025-11-20T09:00:00Z,,Planned,2025-11-05T15:00:00Z,ravi.kumar@company.com,2025-11-05T15:00:00Z,ravi.kumar@company.com
a1000001-0000-0000-0000-000000000013,d1a2b3c4-e89b-4d3a-a456-426614174011,Call,Intro discussion with Infotech Global,2025-10-31T09:00:00Z,,Planned,2025-10-30T08:00:00Z,gopi.a@company.com,2025-10-30T08:00:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000014,d1a2b3c4-e89b-4d3a-a456-426614174012,Meeting,Enterprise license discussion,2025-11-02T10:00:00Z,,Planned,2025-10-29T09:00:00Z,gopi.a@company.com,2025-10-29T09:00:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000015,d1a2b3c4-e89b-4d3a-a456-426614174013,Demo,Product demo AsiaTech,2025-11-03T14:00:00Z,,Planned,2025-10-28T09:30:00Z,gopi.a@company.com,2025-10-28T09:30:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000016,d1a2b3c4-e89b-4d3a-a456-426614174014,Email,Send PetroLine proposal,2025-10-28T08:00:00Z,,Planned,2025-10-27T10:00:00Z,ravi.kumar@company.com,2025-10-27T10:00:00Z,ravi.kumar@company.com
